Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,December,3 Southern Metro,Bayside,"5,098","4,849.3"
2019,December,3 Southern Metro,Cardinia,"6,638","5,926.7"
2019,December,3 Southern Metro,Casey,"22,532","6,401.0"
2019,December,3 Southern Metro,Frankston,"14,921","10,510.0"
2019,December,3 Southern Metro,Glen Eira,"7,388","4,799.4"
2019,December,3 Southern Metro,Greater Dandenong,"18,916","11,374.9"
2019,December,3 Southern Metro,Kingston,"12,107","7,419.5"
2019,December,3 Southern Metro,Mornington Peninsula,"11,211","6,649.7"
2019,December,3 Southern Metro,Port Phillip,"12,549","11,226.3"
2019,December,3 Southern Metro,Stonnington,"11,752","10,326.9"
2019,December,3 Southern Metro,Total,"123,112","7,749.3"
2019,December,4 Western,Ararat,"1,262","10,660.6"
2019,December,4 Western,Ballarat,"11,742","10,696.6"
2019,December,4 Western,Buloke,300,"4,865.4"
2019,December,4 Western,Campaspe,"3,962","10,391.3"
2019,December,4 Western,Central Goldfields,"1,411","10,570.1"
2019,December,4 Western,Colac-Otway,"1,649","7,482.9"
2019,December,4 Western,Corangamite,646,"3,994.8"
2019,December,4 Western,Gannawarra,829,"7,848.9"
2019,December,4 Western,Glenelg,"1,674","8,373.3"
2019,December,4 Western,Golden Plains,650,"2,729.9"
2019,December,4 Western,Greater Bendigo,"11,453","9,688.4"
2019,December,4 Western,Greater Geelong,"21,705","8,343.8"
2019,December,4 Western,Hepburn,870,"5,402.0"
2019,December,4 Western,Hindmarsh,330,"5,822.2"
2019,December,4 Western,Horsham,"1,951","9,658.4"
2019,December,4 Western,Loddon,476,"6,239.3"
2019,December,4 Western,Macedon Ranges,"2,444","4,872.2"
2019,December,4 Western,Mildura,"7,425","13,080.5"
2019,December,4 Western,Moorabool,"2,127","5,942.5"
2019,December,4 Western,Mount Alexander,"1,224","6,214.5"
2019,December,4 Western,Moyne,683,"4,018.4"
2019,December,4 Western,Northern Grampians,"1,104","9,430.3"
2019,December,4 Western,Pyrenees,654,"8,779.7"
2019,December,4 Western,Queenscliffe,116,"3,901.8"
2019,December,4 Western,Southern Grampians,"1,215","7,418.5"
2019,December,4 Western,Surf Coast,"1,245","3,639.0"
2019,December,4 Western,Swan Hill,"2,625","12,262.3"
2019,December,4 Western,Warrnambool,"3,452","9,833.6"
2019,December,4 Western,West Wimmera,168,"4,222.2"
2019,December,4 Western,Yarriambiack,477,"7,146.1"
2019,December,4 Western,Total,"85,869","8,426.2"
2019,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"2,760",
2019,December,Justice Institutions and Immigration Facilities,Total,"2,760",
2019,December,Unincorporated Vic,Unincorporated Vic,156,
2019,December,Unincorporated Vic,Total,156,
2018,December,1 North West Metro,Banyule,"9,403","7,252.9"
2018,December,1 North West Metro,Brimbank,"19,051","9,204.4"
2018,December,1 North West Metro,Darebin,"15,236","9,698.1"
2018,December,1 North West Metro,Hobsons Bay,"6,236","6,553.9"
2018,December,1 North West Metro,Hume,"20,702","9,179.4"
2018,December,1 North West Metro,Maribyrnong,"8,434","9,490.2"
2018,December,1 North West Metro,Melbourne,"36,171","22,141.5"
2018,December,1 North West Metro,Melton,"10,680","6,801.7"
2018,December,1 North West Metro,Merri-bek,"14,556","8,192.3"
2018,December,1 North West Metro,Moonee Valley,"8,613","6,863.7"
2018,December,1 North West Metro,Nillumbik,"2,107","3,264.5"
2018,December,1 North West Metro,Whittlesea,"15,615","7,078.4"
2018,December,1 North West Metro,Wyndham,"14,462","5,627.0"
2018,December,1 North West Metro,Yarra,"13,683","14,327.1"
2018,December,1 North West Metro,Total,"194,949","9,006.7"
2018,December,2 Eastern,Alpine,579,"4,515.7"
2018,December,2 Eastern,Bass Coast,"2,211","6,127.5"
2018,December,2 Eastern,Baw Baw,"4,491","8,562.9"
2018,December,2 Eastern,Benalla,"1,191","8,412.2"
2018,December,2 Eastern,Boroondara,"6,942","3,869.9"
2018,December,2 Eastern,East Gippsland,"4,507","9,613.7"
2018,December,2 Eastern,Greater Shepparton,"8,744","13,084.7"
2018,December,2 Eastern,Indigo,451,"2,714.7"
2018,December,2 Eastern,Knox,"10,806","6,651.5"
2018,December,2 Eastern,Latrobe,"14,603","19,319.7"
2018,December,2 Eastern,Manningham,"4,362","3,487.1"
2018,December,2 Eastern,Mansfield,480,"5,244.2"
2018,December,2 Eastern,Maroondah,"8,103","6,918.2"
2018,December,2 Eastern,Mitchell,"4,314","9,682.2"
2018,December,2 Eastern,Moira,"2,115","7,071.2"
2018,December,2 Eastern,Monash,"10,332","5,217.9"
2018,December,2 Eastern,Murrindindi,715,"4,910.4"
