Year,LGAID,Offence Count,"Rate per 100,000 population"
2014,3,7025,7769.6
2014,4,17760,9284.9
2014,5,8155,9889.3
2014,6,33063,25835.5
2014,7,9826,7598.9
2014,8,12696,7736.8
2014,9,8483,7203.5
2014,10,2051,3233.3
2014,11,13591,7233.1
2014,12,12973,6437.8
2014,13,12859,14741.8
2014,14,467,3779.8
2014,15,2572,8058.4
2014,16,3810,8168.3
2014,17,1164,8375.3
2014,18,6789,3932.0
2014,19,3913,8837.5
2014,20,7261,11359.7
2014,21,441,2803.2
2014,22,9540,6059.7
2014,23,11883,16029.1
2014,24,4026,3370.8
2014,25,571,6801.7
2014,26,7762,6966.4
2014,27,3289,8415.2
2014,28,1423,4890.0
2014,29,9148,4914.3
2014,30,671,4902.5
2014,31,1201,4210.9
2014,32,493,4921.1
2014,33,196,3276.5
2014,34,2511,9012.3
2014,35,3902,9085.4
2014,36,7328,4459.6
2014,37,3171,8264.5
2014,38,7055,4642.4
2014,39,4260,4268.7
2014,40,5595,6352.9
2014,41,17611,6116.3
2014,42,14890,10934.0
2014,43,5352,3724.6
2014,44,15960,10490.7
2014,45,9466,6138.4
2014,46,10441,6671.6
2014,47,11863,11357.5
2014,48,9610,9075.1
2014,49,1018,8806.2
2014,50,10221,10229.8
2014,51,216,3409.6
2014,52,2948,7895.4
2014,53,1097,8514.4
2014,54,1534,7259.5
2014,55,671,4106.5
2014,56,546,5183.2
2014,57,1730,8757.3
2014,58,577,2760.9
2014,59,8628,7992.2
2014,60,18509,8127.1
2014,61,616,4056.9
2014,62,228,3901.4
2014,63,2379,12046.8
2014,64,531,7067.7
2014,65,2088,4591.9
2014,66,5935,11044.5
2014,67,1921,6183.6
2014,68,1012,5470.0
2014,69,646,3912.3
2014,70,936,7947.7
2014,71,451,6399.9
2014,72,126,4242.4
2014,73,953,5862.8
2014,74,1411,4886.7
2014,75,2197,10491.9
2014,76,3001,8897.4
2014,77,194,4804.4
2014,78,355,5127.1
2014,79,980,
2014,80,116,
